Ranking,Rating,Number of Reviews,Price,City Part,City Ranking 1,City Ranking 2,Cuisine Norm,Days,Dif Days
8356.0,2.5,16.0,1,0.0777,-0.13124222722883813,0.012975191897168819,-0.012979199999999998,947.0,130.0
1846.0,3.0,16.0,1,0.016475,-0.02972009878419453,0.001073807981595542,-0.012979199999999998,256.0,661.0
2011.0,4.5,15.0,1,0.02715,-0.023146313364055298,0.012559122934090328,-0.004979199999999999,1016.0,623.0
1328.0,5.0,0.0,1,0.0204,-0.012815705521472395,0.010752442532873017,-0.012979199999999998,1692.0,504.0876149434008
2435.0,3.0,4.0,1,0.0223,-0.03861829405162739,0.0003394785165987389,-0.012979199999999998,1658.0,969.0
2428.0,4.5,69.0,0,0.05195,-0.008754212806933078,0.0591697610511245,-0.004979199999999999,1232.0,308.0
2047.0,4.5,20.0,1,0.0777,0.026533537174122948,0.06276867467042799,0.0110208,342.0,504.0876149434008
5845.0,3.0,104.0,1,0.053325,-0.09284352720450281,0.005453973754948532,-0.012979199999999998,1896.0,489.0
5210.0,5.0,2.0,1,0.05195,-0.07833769860375542,0.03721294162412325,0.0030208000000000014,384.0,85.0
11293.0,4.5,10.0,1,0.122425,-0.1599326593137255,0.031166222921599093,-0.012979199999999998,575.7305018056379,504.0876149434008
3133.0,4.0,7.0,1,0.053325,-0.02501172607879925,0.026859439490723377,-0.012979199999999998,335.0,733.0
2713.0,4.5,9.0,0,0.0777,0.0098781783070486,0.05751230131062603,0.0110208,126.0,371.0
5460.0,3.5,132.0,1,0.122425,-0.014077874795751634,0.0772013149200006,0.0030208000000000014,309.0,291.0
165.0,4.5,73.0,1,0.023725,0.019620675105485232,0.021101851324669504,0.0190208,137.0,1383.0
9926.0,3.5,39.0,0,0.122425,-0.125750679125817,0.04195483440142335,-0.012979199999999998,158.0,665.0
2195.0,4.0,7.0,1,0.0325,-0.022392224788298692,0.017334040119562116,-0.012979199999999998,740.0,1188.0
11955.0,4.0,3.0,1,0.143925,-0.15497691973592773,0.037795432541925876,-0.012979199999999998,97.0,566.0
8467.0,2.0,4.0,1,0.0777,-0.1340181203733505,0.012099129670535159,-0.012979199999999998,101.0,111.0
76.0,4.0,484.0,1,0.0265,0.024623229461756373,0.017913823064277353,0.0190208,90.0,387.0
2099.0,4.0,41.0,0,0.06835,0.015880808635199414,0.05113604747883709,0.0110208,250.0,1415.0
1049.0,4.5,281.0,2,0.122425,0.09621964869281047,0.11201372548145251,0.0030208000000000014,547.0,619.0
1912.0,2.5,9.0,1,0.016475,-0.03137260638297872,0.0005526952846447642,-0.004979199999999999,257.0,324.0
10151.0,4.0,5.0,1,0.143925,-0.10986908443363447,0.052032843338675576,-0.012979199999999998,361.0,557.0
9233.0,4.0,25.0,1,0.122425,-0.10842214052287581,0.04742411586120258,-0.004979199999999999,403.0,6.0
280.0,4.0,257.0,1,0.016825,0.009839620535714286,0.014006629796672469,0.0270208,141.0,80.0
156.0,4.5,482.0,1,0.02715,0.02327142857142857,0.027202223526634362,0.035020800000000005,630.0,334.0
2628.0,4.5,4.0,0,0.036075,-0.029645544382801665,0.015242145038700729,-0.012979199999999998,1547.0,504.0876149434008
1586.0,4.0,25.0,1,0.0223,-0.017369472502805836,0.007042205507118026,-0.012979199999999998,575.7305018056379,504.0876149434008
5513.0,4.5,6.0,1,0.0777,-0.06014435146443515,0.03541343433247962,-0.012979199999999998,2983.0,504.0876149434008
548.0,4.0,554.0,1,0.053325,0.03964358583489681,0.0472625106289896,0.0030208000000000014,363.0,629.0
10034.0,4.5,2.0,1,0.122425,-0.12845123059640523,0.04110247884924995,-0.012979199999999998,1167.0,494.0
8764.0,4.5,4.0,1,0.143925,-0.07518806028492009,0.0629792340122298,-0.012979199999999998,119.0,264.0
1622.0,4.0,2.0,1,0.018175,-0.022405819559228653,0.008297242166130191,-0.012979199999999998,1143.0,181.0
3663.0,4.0,26.0,0,0.06835,-0.023233497987559457,0.03879204713049611,-0.012979199999999998,1382.0,318.0
151.0,4.5,1317.0,0,0.0204,0.016645398773006134,0.020044384428020992,0.0030208000000000014,156.0,312.0
53.0,4.5,1820.0,1,0.016825,0.015523065476190477,0.015798909934127175,0.0270208,139.0,254.0
1982.0,3.5,8.0,1,0.0204,-0.029185766871165645,0.0055893754135639484,-0.012979199999999998,115.0,872.0
534.0,4.0,1060.0,2,0.06835,0.05502012440541529,0.063487940410521,0.0190208,182.0,1091.0
2069.0,4.0,112.0,1,0.06835,0.01663108305890962,0.05137282497912495,0.0030208000000000014,219.0,681.0
8650.0,4.5,3.0,1,0.122425,-0.09384416360294119,0.05202525740673113,-0.012979199999999998,139.0,377.0
2274.0,4.0,157.0,1,0.122425,0.0655883935866013,0.10234580370911549,-0.004979199999999999,217.0,684.0
644.0,4.0,19.0,0,0.009625,-0.006491861979166666,0.0045493269867874,-0.004979199999999999,581.0,698.0
855.0,4.5,12.0,0,0.01345,-0.00793975791433892,0.006222417867971339,-0.004979199999999999,1060.0,331.0
794.0,5.0,8.0,1,0.016825,-0.003029501488095238,0.009948339088955644,0.0030208000000000014,92.0,148.0
6032.0,2.5,2.0,1,0.053325,-0.09752071998123826,0.003978006906648422,-0.012979199999999998,641.0,273.0
7131.0,4.0,79.0,1,0.143925,-0.03435596768589298,0.07586708979443171,-0.004979199999999999,216.0,841.0
1250.0,5.0,3.0,1,0.016825,-0.014446465773809522,0.006347987799619315,-0.012979199999999998,1876.0,35.0
888.0,4.5,66.0,1,0.0325,0.010307929176289454,0.027650793505840657,0.0270208,479.0,192.0
775.0,4.0,138.0,1,0.02715,0.007782165898617512,0.02231592742594177,0.0110208,218.0,1770.0
6028.0,3.5,20.0,0,0.0777,-0.07302349533311876,0.03134882129899912,-0.004979199999999999,475.0,903.0
36.0,4.5,2340.0,1,0.0204,0.0195239263803681,0.02095226320282305,0.0430208,239.0,104.0
13825.0,3.5,28.0,0,0.143925,-0.20173504169562195,0.023037140862368268,0.0190208,443.0,359.0
1013.0,3.0,19.0,1,0.0094,-0.01596746666666667,0.0025509165974742184,0.0030208000000000014,558.0,396.0
362.0,4.5,288.0,1,0.05195,0.04292065479056331,0.07547558022300968,0.0270208,308.0,520.0
3672.0,4.5,10.0,1,0.053875,-0.03794260677808728,0.018098617960697252,-0.012979199999999998,423.0,798.0
2173.0,3.5,130.0,1,0.053875,-0.0004502089136490251,0.029930204669412985,0.0270208,288.0,1976.0
1463.0,3.5,283.0,0,0.053325,0.016757856472795495,0.04004053380441954,0.0190208,1401.0,643.0
1485.0,5.0,12.0,1,0.02715,-0.009984193548387097,0.016711290541464,-0.012979199999999998,719.0,615.0
1370.0,3.5,25.0,1,0.01345,-0.02083873370577281,0.002155736139538294,-0.012979199999999998,248.0,836.0
9.0,4.5,956.0,1,0.009625,0.009424479166666666,0.009564644064235316,0.0190208,120.0,251.0
1019.0,4.5,45.0,1,0.0265,0.0010259678942398489,0.010468809776655695,-0.012979199999999998,259.0,642.0
500.0,4.5,45.0,1,0.0223,0.009810998877665544,0.015616011763541987,-0.012979199999999998,1338.0,504.0876149434008
1467.0,4.0,21.0,1,0.02915,-0.007531459227467811,0.017642633060073815,-0.004979199999999999,489.0,420.0
7823.0,4.0,21.0,1,0.143925,-0.05165897324530924,0.0704057326595366,-0.004979199999999999,126.0,346.0
690.0,4.5,29.0,1,0.02915,0.011910214592274676,0.02377611220444847,0.0110208,705.0,136.0
1728.0,2.0,26.0,1,0.0149,-0.028347563025210083,-0.00017371841934567419,-0.004979199999999999,122.0,76.0
3704.0,3.5,1135.0,1,0.122425,0.02983109170751634,0.09105998482385677,0.0030208000000000014,95.0,177.0
3419.0,3.5,27.0,1,0.036075,-0.04943425797503468,0.008998469883023734,-0.012979199999999998,468.0,806.0
542.0,4.5,59.0,0,0.022325,0.008784837443946189,0.01807040021719642,0.0030208000000000014,184.0,1146.0
1447.0,4.0,21.0,0,0.022325,-0.013865526905829597,0.010925921319615485,-0.004979199999999999,151.0,575.0
1842.0,4.5,17.0,1,0.02715,-0.018917419354838712,0.013893184389691374,-0.012979199999999998,140.0,238.0
2906.0,3.5,3.0,1,0.02915,-0.04353733905579399,0.006283461259874164,-0.012979199999999998,87.0,1007.0
2042.0,3.5,339.0,1,0.0777,0.026658577405857743,0.06280813693288897,0.0030208000000000014,118.0,223.0
1410.0,5.0,0.0,1,0.0204,-0.014868220858895706,0.010105085493448945,0.0030208000000000014,98.0,187.0
198.0,4.0,370.0,1,0.0223,0.017369472502805836,0.018000256228956388,-0.004979199999999999,149.0,713.0
3345.0,3.5,3.0,1,0.0325,-0.0511643571978445,0.008256560093379769,-0.004979199999999999,1361.0,269.0
1941.0,3.0,354.0,1,0.0223,-0.02625443322109989,0.0042395340328726236,0.0030208000000000014,368.0,749.0
2928.0,4.0,28.0,1,0.053325,-0.019884322232645402,0.02847747801426093,-0.012979199999999998,1220.0,664.0
8247.0,2.5,25.0,1,0.0777,-0.12851635017701965,0.013835469218818092,-0.012979199999999998,1247.0,67.0
2050.0,5.0,0.0,1,0.036075,-0.015185523578363384,0.01980452713728645,-0.004979199999999999,1058.0,504.0876149434008
4593.0,4.0,29.0,1,0.053875,-0.060978296193129056,0.01082917742785723,-0.012979199999999998,242.0,909.0
4281.0,3.5,83.0,0,0.053325,-0.053725187617260785,0.017798423758913082,-0.012979199999999998,575.7305018056379,504.0876149434008
5298.0,4.0,9.0,1,0.05195,-0.08053875782378431,0.03651840527991904,-0.012979199999999998,1129.0,53.0
6.0,4.5,1222.0,1,0.012025,0.011899739583333332,0.010677391295508232,0.0190208,683.0,161.0
6014.0,3.5,48.0,1,0.0777,-0.07267338268426135,0.03145931563388985,-0.004979199999999999,1298.0,1086.0
679.0,4.5,95.0,1,0.0777,0.060744544576762156,0.07356554967975096,0.0030208000000000014,450.0,469.0
888.0,1.0,3.0,1,0.007525,-0.014723916666666666,0.0010111281004323387,-0.012979199999999998,207.0,157.0
4634.0,4.0,62.0,0,0.122425,0.006576342933006536,0.08372025645791926,0.0030208000000000014,467.0,760.0
3437.0,4.0,26.0,0,0.06835,-0.017581430662275885,0.04057577096599807,-0.012979199999999998,608.0,295.0
1490.0,5.0,2.0,1,0.0223,-0.014966778900112235,0.0078001110325477685,-0.012979199999999998,1902.0,710.0
11612.0,4.0,16.0,1,0.143925,-0.14640042998610145,0.040502434705609436,-0.012979199999999998,214.0,231.0
2771.0,3.5,346.0,1,0.053325,-0.01595748123827392,0.0297166587371653,0.0190208,292.0,549.0
4119.0,3.5,30.0,1,0.053325,-0.049673287992495305,0.019077068836050076,-0.012979199999999998,453.0,389.0
200.0,4.0,211.0,2,0.01345,0.008465735567970204,0.011394605308988125,0.0110208,139.0,878.0
3016.0,3.0,1012.0,1,0.05195,-0.023461290322580645,0.05452899547848729,0.0270208,896.0,328.0
1657.0,5.0,11.0,2,0.0777,0.03628667524943676,0.06584673114238411,0.0030208000000000014,575.7305018056379,504.0876149434008
2863.0,4.0,459.0,1,0.143925,0.07236256949270327,0.10955072021601027,0.0110208,215.0,1082.0
2424.0,3.5,481.0,1,0.05195,-0.008654164660568127,0.05920133088495196,0.0270208,225.0,134.0
10345.0,3.5,6.0,1,0.122425,-0.13622781862745098,0.03864801054623215,-0.012979199999999998,577.0,1.0
8456.0,2.5,566.0,1,0.0777,-0.13374303186353395,0.012185946647949305,0.0030208000000000014,280.0,222.0
9011.0,4.5,2.0,1,0.122425,-0.10287100694444445,0.049176180051781204,-0.012979199999999998,133.0,558.0
1252.0,4.5,15.0,0,0.0149,-0.016427563025210087,0.0035849164719516406,-0.012979199999999998,337.0,532.0
7473.0,4.0,28.0,0,0.122425,-0.06441315359477125,0.06131435448921332,-0.012979199999999998,1244.0,595.0
6592.0,4.5,29.0,0,0.143925,-0.0208786266504517,0.08012095033736302,-0.004979199999999999,92.0,718.0
874.0,3.0,3.0,1,0.007525,-0.014372749999999998,0.0011217202364171258,-0.012979199999999998,2108.0,32.0
271.0,4.0,85.0,1,0.018175,0.011415702479338843,0.01896286934637937,0.035020800000000005,102.0,548.0
238.0,4.5,154.0,1,0.0205,0.014567765567765569,0.019097120869284768,0.0110208,200.0,605.0
4656.0,4.0,18.0,0,0.0777,-0.03871245574509173,0.042177266118290854,-0.012979199999999998,797.0,223.0
821.0,5.0,134.0,0,0.05195,0.03144012999518536,0.07185294179130819,0.0030208000000000014,135.0,692.0
1725.0,4.0,3.0,1,0.023725,-0.019420464135021097,0.008786517218240612,0.0030208000000000014,163.0,263.0
87.0,4.5,1256.0,1,0.0204,0.018247361963190187,0.02054963870269344,0.0430208,656.0,362.0
2045.0,4.5,89.0,1,0.06835,0.01723130259787779,0.051562246979355256,-0.004979199999999999,575.7305018056379,504.0876149434008
4158.0,4.0,182.0,1,0.05195,-0.052025036109773715,0.045515807920746304,-0.012979199999999998,347.0,1275.0
14623.0,3.0,39.0,1,0.143925,-0.22168850764419734,0.01673921746114529,-0.012979199999999998,209.0,233.0
5081.0,3.5,32.0,2,0.06835,-0.058696469081595315,0.027600363950222768,-0.004979199999999999,646.0,211.0
4506.0,4.0,57.0,1,0.122425,0.009776996527777778,0.08473045563086551,-0.012979199999999998,742.0,363.0
8128.0,2.5,1768.0,1,0.0777,-0.1255403926617316,0.014774671065389313,0.0030208000000000014,377.0,1100.0
4436.0,4.5,19.0,1,0.143925,0.03303073749131341,0.09713639250908827,0.0110208,455.0,145.0
4112.0,5.0,2.0,1,0.0777,-0.02510807853234632,0.046470760274045016,-0.012979199999999998,1229.0,685.0
747.0,4.5,42.0,1,0.0325,0.013835642802155506,0.028763771491659536,-0.004979199999999999,157.0,483.0
230.0,4.0,47.0,1,0.0094,0.0036597333333333332,0.008734717513332772,0.0270208,297.0,554.0
811.0,4.5,79.0,0,0.0777,0.05744348245896364,0.07252374595078119,0.0190208,575.7305018056379,504.0876149434008
15007.0,3.0,85.0,1,0.143925,-0.23129017546907574,0.013708637779353779,0.0030208000000000014,100.0,233.0
5207.0,4.5,7.0,1,0.06835,-0.06184762166117819,0.02660589844901371,-0.012979199999999998,712.0,371.0
4527.0,3.5,1352.0,1,0.143925,0.030755342251563587,0.09641820826158039,0.0030208000000000014,593.0,570.0
253.0,4.0,10.0,1,0.007525,0.001204,0.006027271411170894,-0.012979199999999998,185.0,266.0
8995.0,4.5,9.0,1,0.122425,-0.10247092524509804,0.04930245494839948,-0.004979199999999999,385.0,319.0
1281.0,4.5,2.0,1,0.0205,-0.01153907203907204,0.010863017079841192,-0.012979199999999998,258.0,661.0
771.0,5.0,3.0,0,0.012825,-0.00646259765625,0.007951376980214602,0.0190208,654.0,67.0
2464.0,4.5,12.0,1,0.02715,-0.034481751152073734,0.008983206724698172,-0.004979199999999999,575.7305018056379,504.0876149434008
720.0,4.0,175.0,1,0.053875,0.03589165506035283,0.04139871400080989,0.0030208000000000014,233.0,829.0
1947.0,4.0,5.0,1,0.02915,-0.01954175965665236,0.013853611194823064,-0.012979199999999998,768.0,181.0
3503.0,5.0,2.0,1,0.053875,-0.03371564531104921,0.019432532673020773,0.0030208000000000014,325.0,504.0876149434008
1143.0,4.5,28.0,1,0.053325,0.024761608818011257,0.04256625247530743,0.0030208000000000014,575.7305018056379,504.0876149434008
319.0,4.5,88.0,1,0.016475,0.0085129179331307,0.013130460833774898,0.0190208,149.0,1021.0
1381.0,5.0,3.0,1,0.0265,-0.00803257790368272,0.007610808917568696,-0.012979199999999998,382.0,504.0876149434008
698.0,4.5,68.0,1,0.036075,0.018637916088765603,0.030476396682767228,0.0030208000000000014,550.0,507.0
212.0,4.5,773.0,1,0.06835,0.06307306988657152,0.06602935224694415,0.0030208000000000014,119.0,359.0
8306.0,5.0,0.0,1,0.122425,-0.08524240706699346,0.05474016768402414,-0.012979199999999998,1370.0,362.0
1540.0,4.5,4.0,1,0.0265,-0.012011331444759207,0.006355499147969709,-0.004979199999999999,97.0,161.0
11301.0,4.0,7.0,1,0.122425,-0.1601327001633987,0.031103085473289955,-0.012979199999999998,1143.0,295.0
250.0,3.5,101.0,1,0.004575,-0.001684203296703297,0.002213842770976891,0.0190208,157.0,1332.0
1977.0,4.0,345.0,1,0.122425,0.07301491013071895,0.10468978147759231,-0.004979199999999999,200.0,685.0
3234.0,3.5,209.0,1,0.05195,-0.02891391429947039,0.05280843953489049,0.0030208000000000014,106.0,198.0
3810.0,4.5,25.0,0,0.143925,0.048683456393328696,0.10207686876117547,0.0190208,209.0,392.0
2045.0,3.5,5.0,1,0.0204,-0.03076269938650307,0.0050920157369332576,-0.012979199999999998,186.0,504.0
4074.0,3.5,26.0,1,0.06835,-0.033512257592389315,0.03554819537655229,-0.012979199999999998,844.0,11.0
1859.0,3.5,4.0,1,0.023725,-0.02277399789029536,0.0077286615962781306,-0.004979199999999999,575.7305018056379,504.0876149434008
13860.0,3.5,32.0,1,0.143925,-0.20261019371091035,0.022760916151788317,0.0110208,575.7305018056379,504.0876149434008
1778.0,4.5,11.0,0,0.02715,-0.017315944700460828,0.014398391094771059,-0.012979199999999998,414.0,324.0
483.0,4.0,36.0,1,0.009625,-0.002456380208333333,0.005820927064691518,0.0030208000000000014,401.0,341.0
5025.0,4.0,0.0,1,0.053875,-0.07178331012070566,0.007419407275645624,-0.012979199999999998,1241.0,504.0876149434008
3556.0,2.5,19.0,1,0.0325,-0.056443418013856814,0.006591039845097617,-0.012979199999999998,133.0,760.0
13573.0,3.5,6.0,0,0.143925,-0.19543394718554552,0.025025958778543946,-0.012979199999999998,557.0,547.0
3568.0,5.0,0.0,1,0.053875,-0.035341399721448466,0.01891948855289634,-0.012979199999999998,3108.0,504.0876149434008
10675.0,4.0,7.0,1,0.143925,-0.12297136031966643,0.04789736481456425,-0.012979199999999998,242.0,240.0
2662.0,4.0,39.0,1,0.0777,0.011153588670743484,0.05791481638772798,-0.012979199999999998,1490.0,504.0876149434008
2684.0,4.0,5.0,1,0.0325,-0.034626635873749034,0.013474137743211535,-0.012979199999999998,1664.0,504.0876149434008
2850.0,4.0,0.0,1,0.0325,-0.038779830638953044,0.012163823235084345,-0.012979199999999998,264.0,681.0
3054.0,4.0,177.0,1,0.05195,-0.024411747713047667,0.05422908205712638,0.0030208000000000014,418.0,526.0
2140.0,5.0,2.0,1,0.0325,-0.021016166281755195,0.0177681804686404,-0.004979199999999999,177.0,1121.0
530.0,4.5,233.0,1,0.053325,0.0400937969043152,0.04740458230422703,0.035020800000000005,142.0,963.0
413.0,4.0,486.0,1,0.05195,0.04164504092441021,0.07507306484170952,0.0270208,125.0,679.0
1153.0,4.5,143.0,1,0.053325,0.02451149155722326,0.04248732376684218,-0.012979199999999998,1393.0,377.0
9.0,4.5,816.0,1,0.004575,0.0043739010989010995,0.004119328870282001,0.0190208,214.0,246.0
7673.0,4.0,65.0,1,0.122425,-0.06941417483660131,0.05973591828148482,0.0030208000000000014,105.0,529.0
1526.0,3.5,3.0,1,0.0157,-0.022485805422647526,0.00564505821229025,0.0110208,140.0,354.0
986.0,4.0,928.0,2,0.143925,0.11929572185545519,0.12436425683768386,0.0270208,142.0,786.0
637.0,4.0,23.0,1,0.023725,0.0078082278481012655,0.01737567331298076,0.0030208000000000014,575.0,259.0
2492.0,4.0,69.0,0,0.05195,-0.010354983148772269,0.058664643709885084,-0.012979199999999998,148.0,196.0
16046.0,2.0,0.0,1,0.143925,-0.2572696881514941,0.005508709942423108,-0.012979199999999998,2093.0,504.0876149434008
1477.0,4.5,313.0,1,0.143925,0.1070185892981237,0.12048921875497648,0.0190208,195.0,160.0
73.0,4.0,779.0,1,0.0265,0.02469830028328612,0.01793750815426979,0.0110208,406.0,440.0
8003.0,2.5,2.0,1,0.0777,-0.12241438686836177,0.015761227626913704,-0.012979199999999998,640.0,357.0
3033.0,4.5,4.0,1,0.053325,-0.022510553470919323,0.02764872657537584,0.0190208,705.0,504.0876149434008
1812.0,4.0,68.0,0,0.053875,0.00857898096564531,0.032779572782719445,0.0110208,119.0,180.0
452.0,3.0,178.0,1,0.007525,-0.003787583333333333,0.004455283192529993,0.0190208,95.0,707.0
305.0,4.5,70.0,0,0.012825,0.0052101562499999995,0.011630961560929602,0.0190208,158.0,485.0
1922.0,4.0,94.0,1,0.06835,0.02030742773508964,0.05253303473053552,0.0110208,974.0,47.0
942.0,3.0,25.0,1,0.009625,-0.013961263020833333,0.002195682122095308,-0.012979199999999998,402.0,188.0
3023.0,4.5,42.0,1,0.05195,-0.023636374578719307,0.054473748269289225,-0.012979199999999998,213.0,201.0
717.0,5.0,9.0,0,0.0204,0.002478036809815951,0.015576041936386538,0.0190208,959.0,37.0
8597.0,4.0,49.0,0,0.143925,-0.07101233495482974,0.06429722048842558,-0.004979199999999999,236.0,207.0
14144.0,3.5,52.0,1,0.143925,-0.20971142720639332,0.020519549928796676,0.0110208,114.0,1481.0
2576.0,4.0,205.0,1,0.122425,0.058036851511437906,0.09996236503544546,0.0030208000000000014,506.0,407.0
10886.0,4.0,20.0,1,0.143925,-0.12824727675469075,0.04623212441649651,0.0190208,106.0,632.0
1248.0,4.0,15.0,1,0.023725,-0.007482885021097046,0.012552167454629446,-0.012979199999999998,1027.0,586.0
2275.0,4.5,2.0,1,0.02915,-0.0277487982832618,0.011264446253568382,-0.012979199999999998,130.0,379.0
13894.0,5.0,0.0,1,0.122425,-0.2249709405637255,0.010638660040090044,0.0110208,470.0,1239.0
314.0,4.5,14.0,1,0.00525,-0.00261244019138756,0.002655684519465316,-0.012979199999999998,393.0,732.0
6383.0,4.0,35.0,1,0.122425,-0.037157587826797386,0.0699168318213336,-0.012979199999999998,575.7305018056379,504.0876149434008
2079.0,4.5,5.0,1,0.02715,-0.0248478801843318,0.01202234080994316,-0.012979199999999998,977.0,123.0
2620.0,4.0,2.0,1,0.0325,-0.033025404157043886,0.013979319240320814,-0.012979199999999998,419.0,429.0
1001.0,4.5,5.0,1,0.012825,-0.012223828124999999,0.006135273002608486,-0.012979199999999998,178.0,768.0
2356.0,4.5,15.0,2,0.06835,0.009453457738748628,0.04910765355970433,0.0190208,575.7305018056379,504.0876149434008
4786.0,4.5,85.0,1,0.143925,0.024279217338429464,0.09437414540328871,-0.012979199999999998,911.0,393.0
1012.0,4.5,9.0,1,0.023725,-0.0015766613924050631,0.014415256460473817,-0.012979199999999998,95.0,362.0
12304.0,3.5,15.0,1,0.122425,-0.18521282169117648,0.02318722789153156,-0.012979199999999998,383.0,976.0
343.0,4.5,72.0,1,0.012825,0.00425830078125,0.011330909599412069,0.0110208,92.0,275.0
2948.0,4.0,6.0,1,0.02915,-0.044588240343347636,0.005951921846664723,-0.012979199999999998,1018.0,362.0
4197.0,5.0,0.0,1,0.06835,-0.036588382729601174,0.034577407625372016,-0.004979199999999999,918.0,504.0876149434008
4923.0,4.5,3.0,1,0.0777,-0.04538960411972964,0.04006998130287476,-0.012979199999999998,163.0,317.0
3558.0,4.0,24.0,1,0.0777,-0.011253620856131316,0.05084317895472113,-0.004979199999999999,930.0,86.0
1240.0,4.0,302.0,1,0.05195,0.02096008666345691,0.06854600169788133,0.0270208,886.0,288.0
5043.0,4.5,39.0,0,0.122425,-0.003650745506535948,0.0804923544131145,-0.004979199999999999,406.0,752.0
3657.0,2.0,292.0,1,0.0325,-0.05897036181678214,0.005793800294972036,0.0030208000000000014,255.0,798.0
4601.0,4.0,0.0,1,0.053325,-0.061728939962476546,0.015272705088025192,-0.012979199999999998,2445.0,504.0876149434008
4714.0,3.5,376.0,1,0.143925,0.02607953005559416,0.09494237909362462,0.035020800000000005,195.0,2198.0
21.0,4.5,956.0,2,0.0204,0.019899386503067485,0.0210706821734494,0.0270208,224.0,278.0
4678.0,5.0,19.0,1,0.143925,0.026979686414176512,0.09522649593879258,0.0190208,575.7305018056379,504.0876149434008
385.0,4.5,40.0,1,0.016475,0.006860410334346504,0.01260934813682412,0.0110208,98.0,137.0
3583.0,5.0,9.0,1,0.06835,-0.021232766190998897,0.039423453797930434,-0.012979199999999998,177.0,718.0
5184.0,4.5,6.0,1,0.06835,-0.06127241126966703,0.026787427865901076,-0.012979199999999998,1262.0,7.0
962.0,4.5,4.0,0,0.0157,-0.008363317384370015,0.010097943291635287,-0.012979199999999998,112.0,305.0
1133.0,4.5,255.0,2,0.122425,0.09411921977124184,0.11135078227420654,-0.004979199999999999,105.0,165.0
5360.0,3.5,60.0,1,0.0777,-0.056318120373350496,0.036620979563785475,-0.004979199999999999,1119.0,297.0
